case,k,sample,Delta,D_objective,frobenius_error,column_norm_error
two_prior_common_optimal_set,7,10,2.214109084914717,-3.2476675854356656e+00,1.0414815143241340e-15,2.2204460492503131e-16
two_prior_common_optimal_set,7,11,2.214109084914717,-3.2476675854356656e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,7,12,2.214109084914717,-3.2476675854356656e+00,8.8817841970012523e-16,2.2204460492503131e-16
two_prior_common_optimal_set,8,1,2.214109084914717,-3.4356875725557741e+00,1.3687748718835771e-15,2.2204460492503131e-16
two_prior_common_optimal_set,8,2,2.214109084914717,-3.4356875725557736e+00,5.4389598220420729e-16,2.2204460492503131e-16
two_prior_common_optimal_set,8,3,2.214109084914717,-3.4356875725557741e+00,8.8817841970012523e-16,2.2204460492503131e-16
two_prior_common_optimal_set,8,4,2.214109084914717,-3.4356875725557741e+00,8.8817841970012523e-16,2.2204460492503131e-16
two_prior_common_optimal_set,8,5,2.214109084914717,-3.4356875725557741e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,8,6,2.214109084914717,-3.4356875725557741e+00,1.2560739669470201e-15,2.2204460492503131e-16
two_prior_common_optimal_set,8,7,2.214109084914717,-3.4356875725557736e+00,5.4389598220420729e-16,2.2204460492503131e-16
two_prior_common_optimal_set,8,8,2.214109084914717,-3.4356875725557741e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,8,9,2.214109084914717,-3.4356875725557741e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,8,10,2.214109084914717,-3.4356875725557741e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,8,11,2.214109084914717,-3.4356875725557741e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,8,12,2.214109084914717,-3.4356875725557741e+00,1.0414815143241340e-15,2.2204460492503131e-16
two_prior_common_optimal_set,9,1,2.214109084914717,-3.6075407637883812e+00,9.4205547521026495e-16,1.1102230246251565e-16
two_prior_common_optimal_set,9,2,2.214109084914717,-3.6075407637883812e+00,8.8817841970012523e-16,2.2204460492503131e-16
two_prior_common_optimal_set,9,3,2.214109084914717,-3.6075407637883812e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,9,4,2.214109084914717,-3.6075407637883812e+00,1.2947314098277875e-15,4.4408920985006262e-16
two_prior_common_optimal_set,9,5,2.214109084914717,-3.6075407637883812e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,9,6,2.214109084914717,-3.6075407637883812e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,9,7,2.214109084914717,-3.6075407637883812e+00,1.2560739669470201e-15,2.2204460492503131e-16
two_prior_common_optimal_set,9,8,2.214109084914717,-3.6075407637883812e+00,1.2560739669470201e-15,2.2204460492503131e-16
two_prior_common_optimal_set,9,9,2.214109084914717,-3.6075407637883812e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,9,10,2.214109084914717,-3.6075407637883812e+00,1.2560739669470201e-15,2.2204460492503131e-16
two_prior_common_optimal_set,9,11,2.214109084914717,-3.6075407637883812e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,9,12,2.214109084914717,-3.6075407637883812e+00,1.8038988979531736e-15,2.2204460492503131e-16
two_prior_common_optimal_set,10,1,2.214109084914717,-3.7657885552437986e+00,1.2560739669470201e-15,2.2204460492503131e-16
two_prior_common_optimal_set,10,2,2.214109084914717,-3.7657885552437991e+00,1.9860273225978185e-15,2.2204460492503131e-16
two_prior_common_optimal_set,10,3,2.214109084914717,-3.7657885552437982e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,10,4,2.214109084914717,-3.7657885552437982e+00,8.8817841970012523e-16,2.2204460492503131e-16
two_prior_common_optimal_set,10,5,2.214109084914717,-3.7657885552437986e+00,1.2560739669470201e-15,2.2204460492503131e-16
two_prior_common_optimal_set,10,6,2.214109084914717,-3.7657885552437982e+00,8.8817841970012523e-16,2.2204460492503131e-16
two_prior_common_optimal_set,10,7,2.214109084914717,-3.7657885552437982e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,10,8,2.214109084914717,-3.7657885552437986e+00,1.2560739669470201e-15,4.4408920985006262e-16
two_prior_common_optimal_set,10,9,2.214109084914717,-3.7657885552437982e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,10,10,2.214109084914717,-3.7657885552437986e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,10,11,2.214109084914717,-3.7657885552437982e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,10,12,2.214109084914717,-3.7657885552437982e+00,8.8817841970012523e-16,2.2204460492503131e-16
two_prior_common_optimal_set,11,1,2.214109084914717,-3.9124280483871710e+00,2.0829630286482680e-15,4.4408920985006262e-16
two_prior_common_optimal_set,11,2,2.214109084914717,-3.9124280483871705e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,11,3,2.214109084914717,-3.9124280483871705e+00,9.4205547521026495e-16,4.4408920985006262e-16
two_prior_common_optimal_set,11,4,2.214109084914717,-3.9124280483871705e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,11,5,2.214109084914717,-3.9124280483871705e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,11,6,2.214109084914717,-3.9124280483871705e+00,9.4205547521026495e-16,2.2204460492503131e-16
two_prior_common_optimal_set,11,7,2.214109084914717,-3.9124280483871705e+00,8.8817841970012523e-16,3.3306690738754696e-16
two_prior_common_optimal_set,11,8,2.214109084914717,-3.9124280483871705e+00,8.8817841970012523e-16,2.2204460492503131e-16
two_prior_common_optimal_set,11,9,2.214109084914717,-3.9124280483871705e+00,1.2947314098277875e-15,2.2204460492503131e-16
two_prior_common_optimal_set,11,10,2.214109084914717,-3.9124280483871705e+00,3.1401849173675503e-16,2.2204460492503131e-16
two_prior_common_optimal_set,11,11,2.214109084914717,-3.9124280483871705e+00,1.5700924586837751e-15,2.2204460492503131e-16
two_prior_common_optimal_set,11,12,2.214109084914717,-3.9124280483871710e+00,2.0106994154417229e-15,4.4408920985006262e-16
